OBJECTID,SUB_DESCRIPTION,BUSINESS_NAME,BUSINESS_ADDRESS,EXPIRY_DATE,LICENSE_NUMBER,LICENSE_TYPE
418,D - Parking Lot,HAMILTON MUNICIPAL PARKING SYSTEM,11 CHEEVER ST  HAMILTON ON,2022/12/31 00:00:00+00,15 104650 07 1R,Public Garage
419,D - Parking Lot,HAMILTON MUNICIPAL PARKING SYSTEM,735 BARTON ST E  HAMILTON ON,2022/12/31 00:00:00+00,15 104651 07 1R,Public Garage
420,D - Parking Lot,HAMILTON MUNICIPAL PARKING SYSTEM,167 BARTON ST W  HAMILTON ON,2022/12/31 00:00:00+00,15 104654 07 1R,Public Garage
421,D - Parking Lot,HAMILTON MUNICIPAL PARKING SYSTEM,30 EMERALD ST S  HAMILTON ON,2022/12/31 00:00:00+00,15 104659 07 1R,Public Garage
422,D - Parking Lot,HAMILTON MUNICIPAL PARKING SYSTEM,14 VINE ST  HAMILTON ON,2022/12/31 00:00:00+00,15 104664 07 1R,Public Garage
423,D - Parking Lot,HAMILTON MUNICIPAL PARKING SYSTEM,168 SHERMAN AVE N  HAMILTON ON,2022/12/31 00:00:00+00,15 104665 07 1R,Public Garage
424,D - Parking Lot,HAMILTON MUNICIPAL PARKING SYSTEM,28 YORK BLVD  HAMILTON ON,2022/12/31 00:00:00+00,15 104672 07 1R,Public Garage
425,D - Parking Lot,HAMILTON MUNICIPAL PARKING SYSTEM,207 HUGHSON ST N  HAMILTON ON,2022/12/31 00:00:00+00,15 104678 07 1R,Public Garage
426,D - Parking Lot,HAMILTON MUNICIPAL PARKING SYSTEM,11 EAST AVE N  HAMILTON ON,2022/12/31 00:00:00+00,15 104682 07 1R,Public Garage
427,D - Parking Lot,HAMILTON MUNICIPAL PARKING SYSTEM,263 KING ST W  HAMILTON ON,2022/12/31 00:00:00+00,15 104684 07 1R,Public Garage
428,D - Parking Lot,HAMILTON MUNICIPAL PARKING SYSTEM,75 CATHARINE ST S  HAMILTON ON,2022/12/31 00:00:00+00,15 104686 07 1R,Public Garage
429,D - Parking Lot,HAMILTON MUNICIPAL PARKING SYSTEM,11 FERGUSON AVE N  HAMILTON ON,2022/12/31 00:00:00+00,15 104688 07 1R,Public Garage
430,D - Parking Lot,HAMILTON MUNICIPAL PARKING SYSTEM,36 NEWLANDS AVE  HAMILTON ON,2022/12/31 00:00:00+00,15 104689 07 1R,Public Garage
431,D - Parking Lot,HAMILTON MUNICIPAL PARKING SYSTEM,402 BARTON ST E  HAMILTON ON,2022/12/31 00:00:00+00,15 104700 07 1R,Public Garage
432,D - Parking Lot,HAMILTON MUNICIPAL PARKING SYSTEM,294 VICTORIA AVE N  HAMILTON ON,2022/12/31 00:00:00+00,15 104701 07 1R,Public Garage
433,D - Parking Lot,HAMILTON MUNICIPAL PARKING SYSTEM,1368 BARTON ST E  HAMILTON ON,2022/12/31 00:00:00+00,15 250389 07 1R,Public Garage
434,D - Parking Lot,HAMILTON MUNICIPAL PARKING SYSTEM,12 YORK BLVD  HAMILTON ON,2022/12/31 00:00:00+00,15 281425 07 1R,Public Garage
435,B2 - Motor Repair,HAPPY TIRES INC.,321 GRAYS RD  HAMILTON ON L8E 2Z1,2022/10/24 00:00:00+00,16 291830 05 1R,Public Garage
