OBJECTID,SUB_DESCRIPTION,BUSINESS_NAME,BUSINESS_ADDRESS,EXPIRY_DATE,LICENSE_NUMBER,LICENSE_TYPE
679,Restaurant Take-Out,COMPASS GROUP CANADA LTD O/A TIM HORTONS,481 BARTON ST  STONEY CREEK ON L8N 3T2,2022/08/28 00:00:00+00,19 296283 02 1J,Eating Establishment
680,Restaurant,COMPASS GROUP CANADA LTD O/A TIM HORTONS,50 CHARLTON AVE E  HAMILTON ON,2022/07/18 00:00:00+00,19 296286 02 1J,Eating Establishment
681,Restaurant Take-Out,COMPASS GROUP CANADA LTD O/A TIM HORTONS,50 CHARLTON AVE E  HAMILTON ON,2022/07/18 00:00:00+00,19 296288 02 1J,Eating Establishment
682,Restaurant Take-Out,COMPASS GROUP CANADA LTD O/A TIM HORTONS,100 WEST 5TH ST  HAMILTON ON,2022/07/24 00:00:00+00,19 296290 02 1J,Eating Establishment
683,Restaurant Take-Out,COMPASS GROUP CANADA LTD.,101 YORK BLVD  HAMILTON ON,2022/04/30 00:00:00+00,14 277793 06 1J,Eating Establishment
684,Restaurant,COMPASS GROUP CANADA LTD.,101 YORK BLVD  HAMILTON ON,2022/07/01 00:00:00+00,14 278451 07 1J,Eating Establishment
685,Restaurant,Compass Group Canada Ltd.,45 MAIN ST E  HAMILTON ON,2022/12/11 00:00:00+00,17 293392 04 1J,Eating Establishment
686,Restaurant,COMPASS GROUP CANADA LTD. O/A COYOTE JACKS #12417,135 FENNELL AVE W  HAMILTON ON L9C 1E9,2022/03/11 00:00:00+00,14 287149 06 1J,Eating Establishment
687,Restaurant,COMPASS POINT BIBLE CHURCH O/A 541 EATERY AND EXCHANGE,541 BARTON ST E  HAMILTON ON,2022/07/31 00:00:00+00,14 286181 07 1J,Eating Establishment
688,Restaurant Take-Out,CONCESSION PIZZA,576 CONCESSION ST  HAMILTON ON L8V 1B1,2022/06/03 00:00:00+00,16 290664 05 1J,Eating Establishment
689,Restaurant,COPETOWN WOODS GOLF CLUB INC.,1430 2ND CON RD W  FLAMBOROUGH ON,2022/06/01 00:00:00+00,14 205323 07 1J,Eating Establishment
690,Restaurant with Liquor Service,CORKTOWN PUB AND FARE INC,175 YOUNG ST  HAMILTON ON,2022/11/12 00:00:00+00,14 285073 07 1J,Eating Establishment
691,Restaurant with Liquor Service,CORNER IN THE CREEK PROPERTIES LTD O/A THE VILLAGE RESTAURANT,33 KING ST E  STONEY CREEK ON,2022/05/12 00:00:00+00,15 175109 07 1J,Eating Establishment
692,Restaurant,COUNTRY COURT CAFE,490 ARVIN AVE  STONEY CREEK ON L8E 2M9,2022/12/17 00:00:00+00,15 290433 06 1J,Eating Establishment
693,Restaurant,COUNTRY STYLE,104 KING ST W  STONEY CREEK ON,2022/05/26 00:00:00+00,14 169507 07 1J,Eating Establishment
