licence number,establishment name,location address line 1,location address line 2,location address  city,location postal code,licence type,licence subtype,capacity
161181,The Five Point Restaurant,3124 MAIN ST,,VANCOUVER,V5T3G7,Food Primary,,105
186561,The Fixx Cafe,101 - 3275 Lakeshore Rd,,KELOWNA,V1W3S9,Food Primary,,55
172208,The Flying Otter Grill,950 Wharf St,,VICTORIA,V8W1T3,Food Primary,,68
306235,The Flying Pig,127  2nd Avenue W,,VANCOUVER,V5Y0G9,Food Primary,,174
218032,The Flying Pig (Gastown),102 Water Street,,VANCOUVER,V6B1B2,Food Primary,,200
209997,The Flying Rose,1517 Robson St,,VANCOUVER,V6G1C3,Food Primary,,50
122136,The French Table - Bistro,3916 Main Street,,VANCOUVER,V5V3P2,Food Primary,,54
302793,The Fringe Cafe,3124 West Broadway,,VANCOUVER,V6K2H2,Liquor Primary,,55
192899,The Front,889 Hot Springs Road,,HARRISON HOT SPRINGS,V0M1K0,Licensee Retail Store,,
304508,The Galley,412 Marine Dr,,GIBSONS,V0N1V0,Food Primary,,54
305877,The Galley Grill,2346 Shawnigan Lake Rd E,,SHAWNIGAN LAKE,V0R2W0,Food Primary,,50
301846,The Garden on Mainland,1055 Mainland Street,,VANCOUVER,V6B5P9,Food Primary,,91
305397,The Gastown Pub Company,66 Water Street,,VANCOUVER,V6B1A4,Liquor Primary,,300
302082,The Gecko Tree,54 North Mackenzie Ave,,WILLIAMS LAKE,V2G1N5,Food Primary,,94
207476,The General Public,3289 Main Street,,VANCOUVER,V5V3M6,Food Primary,,92
301232,The Golden Taps Pub ,505  9th Ave. N.,,GOLDEN,V0A1H0,Liquor Primary,,108
182923,The Grand Hotel Nanaimo,4850 CEDAR RIDGE PLACE,,NANAIMO,V9T6M3,Food Primary,,310
182939,The Grand Hotel Nanaimo,4850 CEDAR RIDGE PLACE,,NANAIMO,V9T6M3,Liquor Primary,,52
001549,The Granville Strip,1050 Granville Street,,VANCOUVER,V6Z1L5,Liquor Primary,,295
303467,The Grateful Fed Pub,509 BERNARD AVE,,KELOWNA,V1Y6N9,Liquor Primary,,71
120260,The Great Wok,365 South Highway 97,,100 MILE HOUSE,V0K2E0,Food Primary,,330
301743,The Greedy Pig,307 W. Cordova St.,,VANCOUVER,V6B1E5,Food Primary,,69
305498,The Greek By Anatoli,1043 Mainland Street,,VANCOUVER,V6B5P9,Food Primary,,94
305337,The Greek Corner,123 - 7218 King George Blvd.,,SURREY,V3W5A5,Food Primary,,61
